eNodeb Name,Cell ID,Result,Cell Type,Latitude,Longitude,Carrier,Azimuth
52408,22,No Sector Swap Found,,33.764052,72.3575749999999,L2100,100.0
52408,21,No Sector Swap Found,,33.764052,72.3575749999999,L2100,0.0
52408,13,No Sector Swap Found,Sector Split,33.764052,72.3575749999999,L1800,265.0
52408,201,No Sector Swap Found,,33.764052,72.3575749999999,L900,345.0
52408,202,No Sector Swap Found,,33.764052,72.3575749999999,L900,100.0
52408,3,No Sector Swap Found,Sector Split,33.764052,72.3575749999999,L1800,235.0
52408,11,No Sector Swap Found,Sector Split,33.764052,72.3575749999999,L1800,15.0
52408,1,No Sector Swap Found,Sector Split,33.764052,72.3575749999999,L1800,345.0
52408,2,No Sector Swap Found,,33.764052,72.3575749999999,L1800,100.0
52408,23,No Sector Swap Found,,33.764052,72.3575749999999,L2100,250.0
52060,1,No Sector Swap Found,,33.74953,72.38783,L1800,0.0
52060,23,No Sector Swap Found,,33.74953,72.38783,L2100,270.0
52418,23,No Sector Swap Found,Sector Split,33.80632,72.36053,L2100,335.0
52418,1,No Sector Swap Found,Sector Split,33.80632,72.36053,L1800,335.0
52418,2,No Sector Swap Found,,33.80632,72.36053,L1800,270.0
52418,11,No Sector Swap Found,Sector Split,33.80632,72.36053,L1800,5.0
52418,21,No Sector Swap Found,,33.80632,72.36053,L2100,5.0
52418,22,No Sector Swap Found,,33.80632,72.36053,L2100,270.0
52418,3,No Sector Swap Found,Sector Split,33.80632,72.36053,L1800,335.0
52409,1,No Sector Swap Found,,33.77013,72.35549,L1800,60.0
52409,23,No Sector Swap Found,,33.77013,72.35549,L2100,270.0
52409,3,No Sector Swap Found,,33.77013,72.35549,L1800,270.0
52409,22,No Sector Swap Found,,33.77013,72.35549,L2100,160.0
52409,2,No Sector Swap Found,,33.77013,72.35549,L1800,160.0
52409,203,No Sector Swap Found,,33.77013,72.35549,L900,270.0
52409,202,No Sector Swap Found,,33.77013,72.35549,L900,160.0
52409,21,No Sector Swap Found,,33.77013,72.35549,L2100,60.0
52409,201,No Sector Swap Found,,33.77013,72.35549,L900,60.0
3129,23,No Sector Swap Found,,33.78309,72.36468,L2100,265.0
53310,21,No Sector Swap Found,,33.7652199999999,72.3234599999999,L2100,50.0
53310,202,No Sector Swap Found,,33.7652199999999,72.3234599999999,L900,170.0
53310,22,No Sector Swap Found,,33.7652199999999,72.3234599999999,L2100,170.0
53310,23,No Sector Swap Found,,33.7652199999999,72.3234599999999,L2100,260.0
53310,203,No Sector Swap Found,,33.7652199999999,72.3234599999999,L900,260.0
53310,2,No Sector Swap Found,,33.7652199999999,72.3234599999999,L1800,170.0
53310,1,Sector Swap Found Between 1 and 3,,33.7652199999999,72.3234599999999,L1800,50.0
53310,3,Sector Swap Found Between 3 and 1,,33.7652199999999,72.3234599999999,L1800,260.0
53288,1,No Sector Swap Found,,33.76595,72.33353,L1800,80.0
53288,2,No Sector Swap Found,,33.76595,72.33353,L1800,180.0
53288,3,No Sector Swap Found,,33.76595,72.33353,L1800,280.0
53288,21,No Sector Swap Found,,33.76595,72.33353,L2100,80.0
53288,22,No Sector Swap Found,,33.76595,72.33353,L2100,180.0
53288,23,No Sector Swap Found,,33.76595,72.33353,L2100,280.0
53232,21,No Sector Swap Found,,33.75503,72.36246,L2100,30.0
8099,24,No Sector Swap Found,,33.76625,72.35325,L2100,0.0
8099,23,No Sector Swap Found,Sector Split,33.76625,72.35325,L2100,260.0
8099,4,No Sector Swap Found,,33.76625,72.35325,L1800,0.0
